Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount
AMReporter.java,6,6,2,2
AnnotateRunTimeStatsOptimizer.java,14,14,2,2
AvroDeserializer.java,3,3,1,1
AvroSerdeUtils.java,12,0,1,1
CookieSigner.java,1,1,1,1
CoreCliDriver.java,2,2,2,2
DruidQueryRecordReader.java,5,5,2,2
DruidSelectQueryRecordReader.java,4,4,2,2
DruidStorageHandler.java,17,17,2,2
DruidTopNQueryRecordReader.java,4,4,2,2
ElapsedTimeLoggingWrapper.java,2,2,2,2
ErrorMsg.java,2,2,1,1
FetchOperator.java,5,5,2,2
HdfsUtils.java,7,7,2,2
HiveMetaStoreChecker.java,2,2,2,2
HiveRelMdPredicates.java,3,3,2,2
JvmMetricsInfo.java,4,4,2,2
JvmPauseMonitor.java,2,2,2,2
LineageLogger.java,2,2,2,2
LlapDaemonCacheInfo.java,5,5,2,2
LlapDaemonExecutorInfo.java,5,5,2,2
LlapDaemonIOInfo.java,5,5,2,2
LlapDaemonJvmInfo.java,5,5,2,2
LlapProtocolClientProxy.java,4,4,2,2
LlapTaskReporter.java,2,2,2,2
LlapTaskSchedulerInfo.java,5,5,2,2
LlapTaskSchedulerService.java,6,6,2,2
MetricsCollection.java,12,12,2,2
PerfLogger.java,6,6,3,2
QueryDisplay.java,10,11,3,2
ReplicationSpec.java,10,10,2,2
SQLStdHiveAuthorizationValidatorForTest.java,9,9,2,2
SchemaToTypeInfo.java,10,4,1,1
SessionManager.java,5,5,2,2
SplitSupport.java,69,0,1,1
SplitSupportDummy.java,15,0,3,1
SubstitutionVisitor.java,4,4,2,2
TaskExecutorService.java,2,2,2,2
TaskRunnerCallable.java,10,10,2,2
TephraHBaseConnection.java,3,3,2,2
TestAcidUtils.java,1,1,1,1
TestCliDriver.java,4,1,1,1
TestEncryptedHDFSCliDriver.java,4,1,1,1
TestHadoopFileStatus.java,8,8,2,2
TestMiniLlapCliDriver.java,4,1,1,1
TestMiniLlapLocalCliDriver.java,4,1,1,1
TestMiniSparkOnYarnCliDriver.java,5,2,1,1
TestServiceDiscovery.java,6,6,2,2
TestSparkCliDriver.java,5,2,1,1
TestSplitSupport.java,48,0,1,1
TxnHandler.java,3,3,1,1
TypeInfoToSchema.java,3,2,1,1
UpdateDeleteSemanticAnalyzer.java,1,1,1,1
