Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,BugStatus
File,ACIDBenchmarks.java,6.0,0.0,6.0,0.0,1.0,,,,,10.0,2.0,1.0,23.0,,23.0,18.0,16.0,20.0,,1.0,4.0,0.0,15.0,,265.0,41.0,207.0,98.0,82.0,17.0,,94.0,133.0,75.0,66.0,,5.0,,2.0,,,"0,08",34.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,ACLConfigurationParser.java,11.0,0.0,11.0,0.0,3.0,,,,,1.0,0.0,3.0,10.0,,10.0,10.0,2.0,10.0,,0.0,3.0,0.0,7.0,,167.0,22.0,125.0,38.0,70.0,20.0,,57.0,89.0,37.0,58.0,,11.0,,3.0,,,"0,16",29.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,AMReporter.java,12.0,0.0,10.0,1.0,2.0,,,,,10.0,0.0,1.0,41.0,,41.0,41.0,34.0,41.0,,13.0,2.0,4.0,22.0,,618.0,71.0,487.0,185.0,256.0,60.0,,239.0,328.0,168.0,196.0,,7.0,,4.0,,,"0,12",77.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ANTLRNoCaseStringStream.java,8.0,1.0,7.0,0.0,2.0,,,,,1.0,0.0,0.0,2.0,,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,2.0,,55.0,6.0,18.0,8.0,7.0,31.0,,8.0,13.0,7.0,7.0,,3.0,,1.0,,,"1,72",4.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ASTBuilder.java,19.0,1.0,17.0,1.0,5.0,,,,,1.0,14.0,1.0,20.0,,20.0,4.0,1.0,18.0,,0.0,0.0,0.0,18.0,,443.0,40.0,365.0,78.0,283.0,38.0,,161.0,199.0,71.0,148.0,,72.0,,2.0,,,"0,10",109.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,ASTConverter.java,19.0,1.0,15.0,3.0,4.0,,,,,8.0,7.0,4.0,55.0,,55.0,48.0,26.0,55.0,,15.0,18.0,3.0,19.0,,1284.0,146.0,963.0,336.0,605.0,175.0,,506.0,724.0,342.0,487.0,,24.0,,4.0,,,"0,18",203.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ASTErrorNode.java,2.0,0.0,2.0,0.0,1.0,,,,,1.0,0.0,1.0,5.0,,5.0,5.0,1.0,5.0,,0.0,0.0,0.0,5.0,,49.0,8.0,21.0,18.0,6.0,20.0,,12.0,18.0,13.0,5.0,,1.0,,0.0,,,"0,95",5.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ASTErrorUtils.java,7.0,0.0,7.0,0.0,1.0,,,,,1.0,10.0,1.0,10.0,,10.0,0.0,0.0,10.0,,0.0,3.0,0.0,7.0,,106.0,15.0,72.0,17.0,44.0,19.0,,42.0,57.0,17.0,44.0,,2.0,,1.0,,,"0,26",14.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ASTNode.java,10.0,1.0,8.0,1.0,2.0,,,,,1.0,1.0,2.0,30.0,,30.0,29.0,8.0,30.0,,0.0,9.0,1.0,20.0,,382.0,55.0,267.0,88.0,143.0,61.0,,135.0,195.0,77.0,136.0,,11.0,,4.0,,,"0,23",63.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ASTNodeOrigin.java,7.0,0.0,4.0,3.0,1.0,,,,,1.0,0.0,0.0,6.0,,6.0,6.0,5.0,6.0,,0.0,0.0,0.0,6.0,,97.0,10.0,32.0,15.0,10.0,55.0,,17.0,24.0,14.0,10.0,,1.0,,0.0,,,"1,72",6.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,AWSSecretsManagerSecretSource.java,12.0,0.0,9.0,3.0,2.0,,,,,1.0,0.0,0.0,5.0,,5.0,5.0,2.0,5.0,,1.0,1.0,0.0,3.0,,109.0,9.0,59.0,24.0,26.0,42.0,,27.0,40.0,20.0,23.0,,5.0,,2.0,,,"0,71",11.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,AWSSecretsManagerSecretSourceTest.java,5.0,0.0,5.0,1.0,1.0,,,,,1.0,0.0,0.0,7.0,,7.0,7.0,2.0,7.0,,0.0,0.0,0.0,7.0,,74.0,11.0,45.0,25.0,13.0,23.0,,22.0,30.0,18.0,13.0,,1.0,,0.0,,,"0,51",7.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,AbortCompactResponse.java,8.0,0.0,7.0,0.0,2.0,,,,,6.0,4.0,6.0,41.0,,39.0,37.0,4.0,41.0,,1.0,3.0,0.0,37.0,,431.0,68.0,338.0,95.0,175.0,28.0,,140.0,224.0,83.0,157.0,,6.0,,4.0,,,"0,08",77.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,AbortCompactionFunction.java,12.0,0.0,12.0,0.0,2.0,,,,,2.0,0.0,2.0,9.0,,9.0,7.0,4.0,7.0,,0.0,2.0,0.0,5.0,,188.0,24.0,147.0,57.0,85.0,17.0,,71.0,89.0,52.0,47.0,,4.0,,3.0,,,"0,12",16.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,AbortCompactionRequest.java,10.0,0.0,9.0,0.0,3.0,,,,,6.0,4.0,9.0,52.0,,50.0,48.0,8.0,52.0,,1.0,3.0,0.0,48.0,,632.0,83.0,522.0,116.0,303.0,36.0,,216.0,347.0,98.0,270.0,,12.0,,4.0,,,"0,07",138.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,AbortCompactionResponseElement.java,9.0,0.0,9.0,1.0,2.0,,,,,6.0,4.0,10.0,49.0,,47.0,45.0,9.0,49.0,,1.0,3.0,0.0,45.0,,577.0,80.0,469.0,108.0,281.0,37.0,,200.0,316.0,88.0,244.0,,12.0,,3.0,,,"0,08",122.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
