Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount,BugFixCount,CumulativeDeveloperCount,AverageTimeBetweenChanges,CumulativeCommitCount,ChangedComments,UnchangedComments,CumulativeChangedComments,CumulativeUnchangedComments,CumulativeAverageTimeBetweenChanges,AverageExpertise,MinimumExpertise
AvroContainerOutputFormat.java,4,0,1,1,0,1,896204.0,1,0,1,0,1,896204.0,1.0,1
AvroDeserializer.java,44,1,1,1,0,1,896204.0,1,0,1,0,1,896204.0,1.0,1
AvroGenericRecordReader.java,30,1,1,1,0,1,896204.0,1,0,1,0,1,896204.0,1.0,1
AvroGenericRecordWritable.java,12,0,1,1,0,1,896204.0,1,0,1,0,1,896204.0,1.0,1
AvroSerDe.java,2,1,1,1,0,1,896204.0,1,0,1,0,1,896204.0,1.0,1
AvroSerializer.java,5,0,1,1,0,1,896204.0,1,0,1,0,1,896204.0,1.0,1
BaseVectorizedColumnReader.java,7,3,1,1,0,1,74118.0,1,0,1,0,1,74118.0,1.0,1
ColumnStatsSemanticAnalyzer.java,2,0,1,1,0,1,182457.0,1,0,1,0,1,182457.0,1.0,1
DataWritableReadSupport.java,34,0,1,1,0,1,74118.0,1,0,1,0,1,74118.0,1.0,1
DataWritableWriteSupport.java,6,1,1,1,0,1,74118.0,1,0,1,0,1,74118.0,1.0,1
DateWritableV2.java,1,1,1,1,0,1,2005177.0,1,0,1,0,1,2005177.0,1.0,1
ETypeConverter.java,10,3,1,1,0,1,74118.0,1,0,1,0,1,74118.0,1.0,1
GenTezUtils.java,1,1,1,1,0,1,29.0,1,0,1,0,1,29.0,1.0,1
GenericUDFCurrentDate.java,6,2,1,1,0,1,808975.0,1,0,1,0,1,808975.0,1.0,1
GenericUDFCurrentTimestamp.java,5,2,1,1,0,1,808975.0,1,0,1,0,1,808975.0,1.0,1
GenericUDFUnixTimeStamp.java,1,1,1,1,0,1,808975.0,1,0,1,0,1,808975.0,1.0,1
HiveConf.java,6,0,1,1,0,1,896204.0,1,0,1,0,1,896204.0,1.0,1
ITestOracle.java,1,1,1,1,0,1,2252373.0,1,0,1,0,1,2252373.0,1.0,1
LoadSemanticAnalyzer.java,57,7,2,2,0,2,26057.0,2,0,2,0,2,26057.0,1.0,1
NanoTimeUtils.java,51,16,1,1,0,1,74118.0,1,0,1,0,1,74118.0,1.0,1
ObjectInspectorUtils.java,6,3,1,1,0,1,2005177.0,1,0,1,0,1,2005177.0,1.0,1
ObjectStore.java,2,2,1,1,0,1,4758623.0,1,0,1,0,1,4758623.0,1.0,1
OrcInputFormat.java,3,3,1,1,0,1,1653269.0,1,0,1,0,1,1653269.0,1.0,1
ParquetDataColumnReaderFactory.java,19,10,1,1,0,1,74118.0,1,0,1,0,1,74118.0,1.0,1
SemanticAnalyzer.java,27,2,5,3,1,3,1126473.0,5,0,5,0,5,1126473.0,1.6666666666666667,1
SessionState.java,10,5,1,1,0,1,808975.0,1,0,1,0,1,808975.0,1.0,1
SharedWorkOptimizer.java,16,8,2,1,0,1,2286272.5,2,0,2,0,2,2286272.5,2.0,2
SparkCompiler.java,43,43,2,1,0,1,306189.0,2,0,2,0,2,306189.0,2.0,2
TestAvroDeserializer.java,52,0,1,1,0,1,896204.0,1,0,1,0,1,896204.0,1.0,1
TestAvroObjectInspectorGenerator.java,10,0,1,1,0,1,896204.0,1,0,1,0,1,896204.0,1.0,1
TestAvroSerializer.java,8,0,1,1,0,1,896204.0,1,0,1,0,1,896204.0,1.0,1
TestInputOutputFormat.java,8,27,1,1,0,1,514762.0,1,0,1,0,1,514762.0,1.0,1
TestObjectInspectorUtils.java,31,0,1,1,0,1,2005177.0,1,0,1,0,1,2005177.0,1.0,1
TestParquetTimestampUtils.java,31,15,1,1,0,1,74118.0,1,0,1,0,1,74118.0,1.0,1
TestParseDriver.java,192,2,2,1,0,1,120290.0,2,0,2,0,2,120290.0,2.0,2
TestParseDriverIntervals.java,2,1,1,1,0,1,89296.0,1,0,1,0,1,89296.0,1.0,1
TestSchemaToolForMetastore.java,2,2,1,1,0,1,965787.0,1,0,1,0,1,965787.0,1.0,1
TimestampTZ.java,4,0,1,1,0,1,808975.0,1,0,1,0,1,808975.0,1.0,1
TimestampTZUtil.java,18,2,1,1,0,1,74118.0,1,0,1,0,1,74118.0,1.0,1
VectorizedListColumnReader.java,3,2,1,1,0,1,74118.0,1,0,1,0,1,74118.0,1.0,1
VectorizedOrcInputFormat.java,1,1,1,1,0,1,1653269.0,1,0,1,0,1,1653269.0,1.0,1
VectorizedParquetRecordReader.java,14,7,1,1,0,1,74118.0,1,0,1,0,1,74118.0,1.0,1
VectorizedPrimitiveColumnReader.java,6,2,1,1,0,1,74118.0,1,0,1,0,1,74118.0,1.0,1
